=== mj_v6 import Wed Jun 10 16:38:08 EDT 2026 ===
Streaming terminusresearch/midjourney-v6-520k-raw
Columns: ['png', '__key__', '__url__']
Note: 4 files with this prefix already exist; adding more.

mj_v6: 0img [00:00, ?img/s]
mj_v6: 1img [00:00,  1.35img/s]
mj_v6: 2img [00:01,  2.02img/s]
mj_v6: 3img [00:01,  2.62img/s]
mj_v6: 4img [00:01,  3.13img/s]
mj_v6: 5img [00:01,  3.97img/s]
mj_v6: 6img [00:01,  3.84img/s]
mj_v6: 7img [00:02,  3.71img/s]
mj_v6: 8img [00:02,  4.09img/s]
mj_v6: 9img [00:02,  4.08img/s]
mj_v6: 10img [00:03,  3.50img/s]
mj_v6: 11img [00:03,  3.64img/s]
mj_v6: 12img [00:03,  2.75img/s]
mj_v6: 13img [00:04,  3.24img/s]
mj_v6: 14img [00:04,  3.13img/s]
mj_v6: 15img [00:04,  2.53img/s]
mj_v6: 16img [00:05,  2.82img/s]
mj_v6: 17img [00:05,  2.43img/s]
mj_v6: 18img [00:06,  2.25img/s]
mj_v6: 19img [00:06,  2.43img/s]
mj_v6: 20img [00:07,  2.33img/s]
mj_v6: 21img [00:07,  3.02img/s]
mj_v6: 22img [00:07,  2.69img/s]
mj_v6: 23img [00:08,  2.25img/s]
mj_v6: 24img [00:08,  2.27img/s]
mj_v6: 25img [00:09,  2.18img/s]
mj_v6: 26img [00:09,  2.17img/s]
mj_v6: 27img [00:10,  2.33img/s]
mj_v6: 28img [00:10,  2.55img/s]
mj_v6: 29img [00:10,  2.34img/s]
mj_v6: 30img [00:11,  2.30img/s]
mj_v6: 31img [00:11,  2.30img/s]
mj_v6: 32img [00:12,  2.40img/s]
mj_v6: 33img [00:12,  2.57img/s]
mj_v6: 34img [00:12,  2.60img/s]
mj_v6: 35img [00:13,  2.71img/s]
mj_v6: 36img [00:13,  2.92img/s]
mj_v6: 37img [00:13,  2.76img/s]
mj_v6: 38img [00:14,  2.56img/s]
mj_v6: 40img [00:14,  3.28img/s]
mj_v6: 41img [00:15,  3.20img/s]
mj_v6: 42img [00:15,  2.95img/s]
mj_v6: 43img [00:15,  2.85img/s]
mj_v6: 44img [00:16,  2.69img/s]
mj_v6: 45img [00:16,  2.63img/s]
mj_v6: 46img [00:16,  2.72img/s]
mj_v6: 47img [00:17,  2.72img/s]
mj_v6: 48img [00:17,  2.92img/s]
mj_v6: 49img [00:18,  2.64img/s]
mj_v6: 50img [00:18,  2.75img/s]
mj_v6: 51img [00:18,  2.55img/s]
